00000.ppm;693;11;798;115;14
00001.ppm;949;214;990;254;13
00002.ppm;309;195;345;232;0
00002.ppm;967;173;1003;209;4
00002.ppm;973;243;1004;273;13
00002.ppm;311;230;347;267;24
00003.ppm;567;294;649;376;7
00004.ppm;991;99;1055;163;13
00004.ppm;984;183;1055;254;23
00005.ppm;463;24;530;91;11
00005.ppm;464;143;531;209;13
00006.ppm;594;143;657;205;14
00007.ppm;21;418;69;465;7
00008.ppm;533;38;581;87;11
00008.ppm;531;124;580;173;13
00009.ppm;1015;0;1130;115;10
00010.ppm;660;215;690;245;3
00010.ppm;663;246;689;272;13
00011.ppm;457;256;501;300;6
00012.ppm;1156;178;1248;270;9
00013.ppm;740;150;790;200;24
00013.ppm;389;173;430;213;0
00014.ppm;857;215;892;250;8
00015.ppm;1179;135;1269;225;13
00016.ppm;1045;218;1099;271;22
00017.ppm;489;249;523;282;14
00018.ppm;548;195;589;236;14
00019.ppm;1164;179;1229;244;13
00020.ppm;961;36;1105;179;25
00021.ppm;614;176;654;216;25
00022.ppm;860;22;1013;173;5
00022.ppm;857;179;1020;341;13
00022.ppm;394;216;467;289;23
00023.ppm;367;285;431;347;13
00023.ppm;367;381;423;435;20
00024.ppm;901;213;944;255;16
00025.ppm;639;132;704;196;1
00026.ppm;1024;265;1120;361;25
00027.ppm;447;7;541;101;14
00028.ppm;621;15;704;98;3
00028.ppm;627;98;711;181;12
00028.ppm;999;224;1039;264;11
00029.ppm;65;182;143;260;0
00029.ppm;136;177;215;256;24
00030.ppm;885;282;929;326;9
00031.ppm;924;184;967;227;16
00032.ppm;217;304;277;364;6
00033.ppm;439;179;509;249;6
00033.ppm;320;175;370;225;7
00034.ppm;591;79;629;117;8
00034.ppm;794;193;824;223;8
00035.ppm;960;25;1041;107;23
00036.ppm;624;46;698;120;14
00037.ppm;427;220;475;267;6
00038.ppm;534;77;623;165;5
00038.ppm;524;165;615;255;13
00038.ppm;333;131;394;191;23
00039.ppm;405;136;501;232;2
00040.ppm;933;239;978;284;16
00041.ppm;1027;139;1084;196;1
00042.ppm;367;77;439;149;3
00042.ppm;287;119;366;198;11
00042.ppm;366;155;435;223;12
00042.ppm;1015;175;1093;254;10
00043.ppm;583;99;639;156;14
00043.ppm;584;150;631;197;20
00044.ppm;1060;90;1140;170;16
00045.ppm;653;25;759;131;6
00046.ppm;631;205;681;255;0
00046.ppm;631;257;680;305;24
00047.ppm;988;50;1138;199;5
00047.ppm;994;201;1147;353;13
00047.ppm;711;50;809;148;23
00047.ppm;713;134;809;230;21
00048.ppm;573;148;639;212;20
00049.ppm;158;324;183;348;14
00050.ppm;1083;80;1144;141;13
00051.ppm;924;0;1059;134;23
00051.ppm;933;115;1071;253;21
00052.ppm;487;218;515;246;0
